name,Nationality,Current status,Gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,Hair,Height,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color
Atuan,NA,Unknown,Female,NA,NA,NA,White Tower,NA,Accepted,NA,NA,NS 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shiaine Avarhin,Andoran,Dead,Female,NA,NA,NA,NA,Lady,NA,NA,WH 10,WH 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Einion Avharin,Far Madding,Dead,Female,NA,NA,NA,NA,NA,First Counsel,NA,WH 23,WH 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aviellin,Aiel,Alive,Female,NA,NA,NA,Car'a'carn,NA,NA,NA,KOD 29,KOD 29,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Aviendha,Aiel,Alive,Female,NA,TDR 38,AMOL Epilogue,NA,NA,NA,NA,NA,NA,980 NE,Blue-green,NA,Dark reddish,"5'9"" 0r 175 cm",Wise One,Taardad,Nine Valleys,Far Dareis Mai,NA,NA,NA,NA
Rhea Avin,Andoran,Alive,Female,NA,LOC Prologue,LOC Prologue,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,"Dark, waist-length braid",NA,NA,NA,NA,NA,NA,NA,NA,NA
Adora Aybara,Andoran,Dead,Female,NA,TEOTW Ravens,TEOTW Ravens,Two Rivers,NA,NA,999 NE,NA,TSR 56,983 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adora Aybara (granddaughter of Perrin),Andoran,Foreseen,Female,NA,NA,NA,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deselle Aybara,Andoran,Dead,Female,NA,TEOTW Ravens,TEOTW Ravens,Two Rivers,NA,NA,999 NE,NA,TSR 56,988 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joslyn Aybara,Andoran,Dead,Female,NA,TEOTW Ravens,TEOTW Ravens,Two Rivers,NA,NA,999 NE,NA,TSR 31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magde Aybara,Andoran,Dead,Female,Stout,NA,NA,Two Rivers,NA,NA,999 NE,TSR 29,TSR 40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faile Bashere,Saldaean,Alive,Female,NA,TDR 33,AMOL Epilogue,Perrin Aybara,Lady,Lady,NA,NA,NA,981 NE,Dark,NA,Black & Shoulder Length,"5'5"" or 165cm",NA,NA,NA,NA,Slender,NA,NA,NA
Lara Ayellan,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW 13,TEOTW 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corin Ayellin,Andoran,Alive,Female,Slim,TEOTW Ravens,TEOTW Ravens,Two Rivers,NA,NA,NA,NA,TFOH 55,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larine Ayellin,Andoran,Alive,Female,Willowy,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,COT 30,981 NE,NA,NA,Thick braid,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marisa Ayellin,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TGH 36,TGH 36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milli Ayellin,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TSR 44,TSR 44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neysa Ayellin,Andoran,Alive,Female,NA,TSR 42,TSR 56,Two Rivers,Women's Circle Member,NA,NA,NA,NA,NA,NA,NA,"Gray, braided",NA,NA,NA,NA,NA,NA,NA,NA,NA
Sari Ayellin,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW 16,TEOTW 16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malena Aylar,Andoran,Foreseen,Female,Scrawny,TGH 23,TGH 23,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tall,Wisdom,NA,NA,NA,NA,NA,NA,NA
Yurith Azeri,Saldaean,Alive,Female,Lean,KOD 32,KOD 32,NA,NA,NA,NA,COT 14,NA,NA,NA,NA,NA,Tall,Queen's Guard,NA,NA,NA,NA,NA,NA,NA
Azril,Andoran,Alive,Female,NA,LOC 11,LOC 11,NA,NA,NA,NA,LOC 11,LOC 11,NA,NA,NA,NA,NA,Serving girl,NA,NA,NA,NA,NA,NA,NA
Azzara din Karak,Atha'an Miere,NA,Female,NA,NA,NA,Atha'an Miere,NA,Windfinder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edesina Azzedin,Unknown nationality,Alive,Female,Slender,TFOH 26,TOM 17,White Tower,NA,Aes Sedai,NA,NS 4,NA,NA,NA,Yellow Ajah,"Very long, Black",NA,NA,NA,NA,NA,NA,NA,NA,NA
Baellin,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wise One,Shiande,Degalle,NA,NA,NA,NA,NA
Baelome,Ghealdanin,Alive,Female,NA,NA,NA,Crown High Council,Lady,NA,NA,TFOH 39,TFOH 39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baerin,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,NA,LOC 27,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Maiden of the Spear,NA,NA,NA,NA
Sereille Bagand,Far Madding,Dead,Female,NA,NA,NA,White Tower,Amyrlin Seat,Aes Sedai,890 NE,ACOS 32,COT 18,586 NE,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martna Baily,Murandian,Unknown,Female,NA,NA,TGS 28,NA,NA,NA,NA,TGS 28,NA,NA,NA,NA,NA,NA,Baker (possibly),NA,NA,NA,NA,NA,NA,NA
Bain,Aiel,Alive,Female,NA,TDR 38,AMOL 44,Car'a'carn,NA,NA,NA,NA,NA,981 NE,Dark blue,NA,Fiery red,"5'8½""",Gai'shain,Shaarad,Black Rock,Far Dareis Mai,NA,NA,NA,NA
Bair,Aiel,Alive,Female,NA,TSR 23,AMOL Epilogue,NA,NA,NA,NA,TDR 39,NA,NA,NA,NA,White,NA,Wise One,Shaarad,Haido,NA,NA,NA,NA,NA
Covarla Baldene,Unknown nationality,Alive,Female,NA,ACOS 32,TGS 13,White Tower,NA,Aes Sedai,NA,NA,NA,919 NE,NA,Red Ajah,Pale,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ballair,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,LOC 26,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jenare Balmaen,Unknown nationality,Alive,Female,Sturdy,WH Prologue,AMOL 3,The Shadow,NA,Aes Sedai,NA,NA,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jala Bandevin,Unknown nationality,Alive,Female,NA,NS 7,KOD Prologue,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Green Ajah,Gray,Very short,NA,NA,NA,NA,NA,NA,NA,NA
Teslyn Baradon,Illianer,Alive,Female,Scrawny,TFOH Prologue,AMOL 37,White Tower,NA,Aes Sedai,NA,NA,NA,870 NE,Dark brown,Red Ajah,NA,NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Barashelle,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,TFOH 24,TFOH 36,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barasine,Unknown nationality,Alive,Female,Lanky,KOD Prologue,TOM 27,White Tower,NA,Aes Sedai,NA,LOC 8,NA,NA,NA,Red Ajah,NA,Tall,Sitter,NA,NA,NA,NA,NA,NA,NA
Narenwin Barda,Unknown nationality,Alive,Female,Thin,COT Prologue,TGS 13,White Tower,NA,Aes Sedai,NA,TFOH 10,NA,913 NE,NA,Yellow Ajah,NA,Short,NA,NA,NA,NA,NA,NA,NA,NA
Doral Barran,Andoran,Dead,Female,NA,TEOTW Ravens,TEOTW Ravens,Two Rivers,Wisdom,NA,NA,NA,COT 30,NA,NA,NA,"White, Long, Braided",NA,Healer,NA,NA,NA,NA,NA,NA,NA
Hilde Barran,Andoran,Alive,Female,Plump,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleis Barsalla,Far Madding,Alive,Female,NA,WH 24,WH 34,NA,NA,First Counsel,NA,NA,NA,NA,NA,NA,Long dark winged with white,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Aedelle Baryn,Andoran,Alive,Female,NA,COT 15,COT 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lady,NA,NA,NA,NA,NA,NA,NA
Duhara Basaheen,Domani,Dead,Female,Slim,NS 14,AMOL 23,Black Ajah,NA,Aes Sedai,1000 NE,NA,NA,764 NE,"Big, Dark",Red Ajah,NA,Tall,Dreadlord,NA,NA,NA,NA,NA,NA,NA
Deira Bashere,Saldaea,Dead,Female,NA,LOC 26,AMOL 37,NA,Lady,NA,NA,LOC 1,AMOL Epilogue,NA,Dark,NA,Dark hair with white at temples.,"5'10"" or 178 cm",NA,NA,NA,NA,NA,NA,NA,NA
N'Delia Basolaine,Hol Cuchone,Dead,Female,NA,NA,NA,Hol Cuchone,Swordfast,First Maid,NA,TFOH Prologue,TFOH Prologue,NA,NA,NA,NA,NA,Historian,NA,NA,NA,NA,NA,NA,NA
Adelorna Bastine,Saldaean,Alive,Female,Slim,KOD Prologue,AMOL 11,White Tower,Captain-General (Green Ajah),Aes Sedai,NA,NS 8,NA,796 NE,Blue,Green Ajah,Dark,"approx 5'3"" or 160cm",NA,NA,NA,NA,NA,NA,NA,NA
Sheriam Bayanar,Saldaean,Dead,Female,Slightly plump,NS 6,TGS 45,Black Ajah,NA,Aes Sedai,1000 NE,NA,AMOL 25,953 NE,"Pale Green, slanted",Blue Ajah,Fiery red,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velina Behar,Saldaean,Unknown,Female,NA,TPOD 25,TPOD 25,Black Ajah,NA,Aes Sedai,NA,NA,TGS Epilogue,859 NE,"Sharp, Tilted",White Ajah,NA,NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Beira,Aiel,Alive,Female,NA,NA,LOC 15,Bair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gai'shain,Unknown clan,Unknown sept,Unknown society,NA,NA,NA,NA
Belairah,Saldaean,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TOM 16,TOM 16,NA,NA,NA,NA,NA,Queen,NA,NA,NA,NA,NA,NA,NA
Beldair,Cairhienin,Alive,Female,Stout,COT Prologue,COT Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray,Tall,Cook,NA,NA,NA,NA,NA,NA,NA
Beldemaine,Arafellin,Alive,Female,Plump,LOC 30,LOC 30,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Yellow Ajah,With silver bells,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belinde,Aiel,Alive,Female,Skinny,ACOS Prologue,KOD 30,Sevanna,NA,NA,NA,NA,NA,NA,Pale Blue,NA,Nearly White,NA,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA
Nan Belman,Andoran,Alive,Female,NA,LOC 28,LOC 28,Darkfriend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meralda Belmondes,Tairen,Alive,Female,NA,TPOD 8,TPOD 8,Cha Faile,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Kaila Bent,Unknown nationality,Alive,Female,Lanky,TOM 22,TOM 23,Queen's Guard,NA,Captain,NA,NA,NA,NA,NA,NA,Fiery,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Beralna,Aiel,Alive,Female,Bony,LOC 49,TGS 29,Car'a'carn,NA,NA,NA,NA,AMOL 1,NA,Blue,NA,Red,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Myrelle Berengari,Altaran,Alive,Female,NA,NS 3,AMOL 31,White Tower,NA,Aes Sedai,NA,NA,NA,954 NE,"Dark, large",Green Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felaana Bevaine,Unknown nationality,Alive,Female,Slim,NS 17,KOD 24,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Brown Ajah,"Yellow, Gleaming",NA,NA,NA,NA,NA,NA,NA,NA,NA
Bharatine,Unknown nationality,Alive,Female,Thin,LOC 14,LOC 30,White Tower,NA,Aes Sedai,NA,NA,NA,921 NE,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivonell Bharatiya,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,NA,NA,COT 7,COT 7,NA,NA,NA,NA,NA,Author,NA,NA,NA,NA,NA,NA,NA
Falion Bhoda,Kandori,Dead,Female,NA,TFOH 18,AMOL 23,Black Ajah,NA,Aes Sedai,1000 NE,NA,NA,NA,NA,White Ajah,"Dark, glossy",NA,Dreadlord,NA,NA,NA,NA,NA,NA,NA
Nesune Bihara,Kandori,Alive,Female,Slender,LOC Prologue,AMOL 23,Dragon Reborn,NA,Aes Sedai,NA,NA,NA,826 NE,Almost black,Brown Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jesse Bilal,Unknown nationality,Alive,Female,NA,TGS 43,TGS 43,White Tower,First Chair,Aes Sedai,NA,LOC 27,NA,752 NE,Dark,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blaes of Matuchin,Unknown nationality,Bound to the Wheel,Female,NA,TGH 47,AMOL 39,Horn of Valere,NA,Hero of the Horn,NA,TEOTW 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elandria Borndat,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TOM 15,TOM 15,NA,NA,NA,NA,NA,Historian,NA,NA,NA,NA,NA,NA,NA
Erian Boroleos,Illianer,Alive,Female,NA,LOC Prologue,TGS 48,White Tower,NA,Aes Sedai,NA,NA,NA,951 NE,Brown,Green Ajah,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arilinde Branstrom,Andoran,Alive,Female,NA,KOD 17,KOD 17,House Trakand,Lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabrelle Brawley,Murandian,Alive,Female,Average,WH Prologue,AMOL 48,White Tower,NA,Aes Sedai,NA,NA,NA,902 NE,Green,Brown Ajah,"Brown, short","5'5""",NA,NA,NA,NA,NA,NA,NA,NA
Silviana Brehon,Amadician,Alive,Female,Stocky,TGH 23,AMOL 37,White Tower,Keeper of the Chronicles,Aes Sedai,NA,TGH 23,NA,849 NE,NA,Red Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brendas,Unknown nationality,Alive,Female,NA,NS 3,TOM 37,Rebel Aes Sedai,NA,Aes Sedai,NA,NS 2,NA,946 NE,"Dark, cool",White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Briain,Aiel,Dead,Female,NA,WH 6,WH 6,Car'a'carn,NA,NA,1000 NE,NA,KOD 29,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Bromas,Andoran,Alive,Female,Stout,TOM 8,TOM 8,NA,NA,NA,NA,NA,TOM 8,NA,NA,NA,NA,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Brune,Andoran,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TEOTW 33,TEOTW 33,NA,NA,NA,NA,NA,Healer,NA,NA,NA,NA,NA,NA,NA
Buad of Albhain,Unknown nationality,Bound to the Wheel,Female,NA,TGH 47,AMOL 39,Horn of Valere,NA,Hero of the Horn,NA,TEOTW 17,NA,NA,NA,NA,NA,NA,Hunter of the Horn,NA,NA,NA,NA,NA,NA,NA
Adrinne Bunt,Andoran,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TOM 1,TOM 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joiya Byir,Andoran,Dead,Female,NA,TDR 51,TSR 9,Black Ajah,NA,Aes Sedai,999 NE,TDR 25,WH 22,828 NE,Dark gray,Gray Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitsora Caal,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miedelle Caeren,Andoran,Dead,Female,NA,NA,NA,Andor,Lady,NA,970 NE,COT 15,COT 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sylvase Caeren,Andoran,Alive,Female,Sturdy,COT 15,TOM 23,House Trakand,Lady,High Seat,NA,NA,NA,NA,"Alert, blue",NA,NA,"5'4"" or 163 cm",NA,NA,NA,NA,NA,NA,NA,NA
Jeaine Caide,Domani,Dead,Female,NA,NS 11,AMOL 44,Black Ajah,NA,Aes Sedai,1000 NE,NA,NA,912 NE,Dark brown,Green Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caiden,Domani,Alive,Female,Plump,KOD 13,KOD 13,The Kin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caira,Altaran,Alive,Female,NA,ACOS 17,WH 19,NA,NA,NA,NA,NA,NA,NA,Smoky,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Cairen,Altaran,Alive,Female,NA,NA,NA,NA,Lady,NA,NA,KOD Prologue,KOD Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calder,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW 7,TEOTW 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calian the Chooser,Unknown nationality,Bound to the Wheel,Female,NA,TGH 47,TGH 47,Horn of Valere,NA,Hero of the Horn,NA,NA,ACOS 21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calindin,Taraboner,Alive,Female,NA,LOC 14,LOC 14,White Tower,NA,Accepted,NA,NA,LOC 29,960 NE,NA,NA,"Black, multitude of braids",NA,NA,NA,NA,NA,NA,NA,NA,NA
Yasicca Cellaech,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TOM 15,TOM 15,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callie,Unknown nationality,Dead,Female,NA,ACOS 17,ACOS 17,The Kin,NA,NA,1000 NE,NA,ACOS 24,NA,NA,NA,NA,NA,Wise Woman,NA,NA,NA,NA,NA,NA,NA
Renaile din Calon Blue Star,Atha'an Miere,Alive,Female,NA,ACOS 39,TOM 36,Atha'an Miere,NA,Windfinder,NA,NA,NA,NA,NA,NA,"Dark, with wings of white",NA,NA,NA,NA,NA,NA,NA,NA,NA
Marithelle Camaelaine,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TWORJTWOT,TWORJTWOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naorisa Cambral,Unknown nationality,Alive,Female,NA,TGS 43,TGS 43,White Tower,Sitter,Aes Sedai,NA,NA,NA,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheraine Caminelle,Cairhienin,Alive,Female,Slender,TGH 42,KOD 36,NA,NA,Aes Sedai,NA,NA,NA,NA,NA,Blue Ajah,Dark,Very short,Damane,NA,NA,NA,NA,NA,NA,NA
Danine Candraed,Andoran,Alive,Female,NA,NA,NA,NA,Lady,High Seat,NA,COT 13,KOD 35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darea Candwin,Andoran,Alive,Female,NA,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adine Canford,Andoran,Alive,Female,Plump,NS 14,NS 14,White Tower,NA,Aes Sedai,NA,NA,COT 17,905 NE,Blue,Blue Ajah,"Short, Black",NA,NA,NA,NA,NA,NA,NA,NA,NA
Cara,Andoran,Alive,Female,NA,TFOH 1,TFOH 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Carahuin,Aiel,Alive,Female,NA,ACOS 1,TPOD Prologue,Car'a'carn,NA,NA,NA,NA,NA,NA,Like polished sapphires,NA,Flaxen,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Caralin,Andoran,Alive,Female,Slim,TFOH 1,TFOH 1,House Bryne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aemlyn Carand,Andoran,Alive,Female,Plump,TPOD 17,KOD 35,House Trakand,Lady,High Seat,NA,TFOH 19,NA,NA,NA,NA,Graying,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caredwain,Cairhienin,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TGH 21,TGH 21,NA,NA,NA,NA,NA,Healer,NA,NA,NA,NA,NA,NA,NA
Careen,Aiel,Alive,Female,NA,TSR 3,TSR 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Far Dareis Mai,NA,NA,NA,NA
Anaiya Carel,Unknown nationality,Dead,Female,NA,NS 9,COT 19,Rebel Aes Sedai,NA,Aes Sedai,1000 NE,NA,TGS 8,Unknown,NA,Blue Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carelle,Aiel,Alive,Female,NA,TPOD 9,KOD 29,Car'a'carn,NA,NA,NA,NA,NA,NA,Piercing,NA,Fiery,NA,Wise One,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Carenna,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,LOC Prologue,LOC Prologue,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carin,Altaran,Alive,Female,NA,ACOS 16,NA,NA,NA,NA,NA,NA,ACOS 16,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Boreane Carivin,Cairhien,Alive,Female,NA,TPOD 14,TPOD 21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Carlya,Tar Valon,Alive,Female,NA,TGS 31,TGS 31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Carlys,Andoran,Alive,Female,NA,LOC 1,LOC 2,NA,Lady,NA,NA,NA,COT Prologue,NA,NA,NA,"Gray, curled",NA,NA,NA,NA,NA,NA,NA,NA,NA
Aravine Carnel,Amadician,Dead,Female,Plump,COT 9,AMOL 37,Darkfriend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endara Casalain,Aldesharin,Dead,Female,NA,NA,NA,NA,NA,NA,NA,LOC 26,LOC 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ishara Casalain,Andoran,Dead,Female,NA,NA,NA,Andor,Queen,Queen of Andor,FY 1020,LOC 1,TPOD 28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galina Casban,Unknown nationality,Alive,Female,NA,LOC Prologue,KOD 30,Black Ajah,NA,Aes Sedai,NA,NA,TGS 39,875 NE,Hard,Red Ajah,"Long, Black",NA,NA,NA,NA,NA,NA,NA,NA,NA
Salindi Casolan,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romanda Cassin,Far Madding,Dead,Female,NA,LOC 15,AMOL 20,White Tower,First Weaver,Aes Sedai,1000 NE,NA,NA,726 NE,Dark,Yellow Ajah,Gray,NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Catrine,Cairhienin,Alive,Female,NA,TGH 21,TGH 21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Catrona,Seanchan,Alive,Female,NA,WH 14,AMOL 32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sul'dam,NA,NA,NA,NA,NA,NA,NA
Bodewhin Cauthon,Andor,Alive,Female,Plump,TSR 33,KOD 23,White Tower,NA,Novice,NA,TSR 13,NA,983 NE[1],"Unknown, described as ""Big"" and likely Brown",NA,"Long, braided",NA,NA,NA,NA,NA,NA,NA,NA,NA
Eldrin Cauthon,Andoran,Alive,Female,NA,TSR 45,TSR 56,Two Rivers,NA,NA,NA,TSR 13,NA,984 NE[1],NA,NA,NA,NA,NA,NA,NA,NA,Plump,NA,NA,NA
Natti Cauthon,Andoran,Alive,Female,NA,TEOTW Ravens,TSR 45,Two Rivers,NA,NA,NA,NA,AMOL 5,956 NE[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cavandra,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,LOC 48,LOC 48,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merilille Ceandevin,Cairhienin,Alive,Female,Slender,LOC 48,COT 11,White Tower,NA,Aes Sedai,NA,LOC 15,KOD 17,827 NE,"Liquid dark, large",Gray Ajah,"Black, glossy",Short,NA,NA,NA,NA,NA,NA,NA,NA
Cedora,Altaran,Alive,Female,NA,ACOS 23,ACOS 31,NA,NA,NA,NA,NA,ACOS 31,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Celebrain,Unknown nationality,Unknown,Female,NA,AMOL 37,AMOL 37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Cerandin,Seanchan,Alive,Female,NA,TFOH 17,TFOH 47,Valan Luca's Traveling Show,NA,NA,NA,NA,WH 15,NA,NA,NA,Pale,NA,S'redit handler,NA,NA,NA,NA,NA,NA,NA
Sillia Cerano,Unknown nationality,Alive,Female,NA,NA,NA,Sillia Cerano,NA,NA,NA,TFOH 36,TFOH 47,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Ceri,Cairhienin,Alive,Female,NA,NA,NA,NA,NA,NA,NA,LOC 25,NA,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Cerindra,Taraboner,Alive,Female,NA,NA,NA,Tarabon,NA,NA,NA,TSR 51,TSR 51,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
