variable,value,name
Eyes,Blue,Sashalle Anderly
First mentioned,WH 14,Sashalle Anderly
First appeared,COT Prologue,Sashalle Anderly
Last appeared,AMOL 42,Sashalle Anderly
Affiliation,The Dragon Reborn,Sashalle Anderly
Rank,Aes Sedai,Sashalle Anderly
Ajah,Red Ajah,Sashalle Anderly
Nationality,Aiel,Andhilin
Current status,Dead,Andhilin
Gender,Female,Andhilin
First mentioned,KOD 18,Andhilin
Last mentioned,TGS 29,Andhilin
Affiliation,Car'a'carn,Andhilin
Clan,Goshien,Andhilin
Sept,Red Salt,Andhilin
Society,Far Dareis Mai,Andhilin
Nationality,Cairhienin,Andil
Current status,Alive,Andil
Gender,Female,Andil
First appeared,COT Prologue,Andil
Last appeared,COT Prologue,Andil
Occupation,Cook,Andil
Nationality,Kandori,Rianna Andomeran
Current status,Alive,Rianna Andomeran
Gender,Female,Rianna Andomeran
Hair,"Black, streak of white",Rianna Andomeran
First mentioned,TDR 25,Rianna Andomeran
First appeared,TDR 51,Rianna Andomeran
Last appeared,AMOL 42,Rianna Andomeran
Last mentioned,AMOL 42,Rianna Andomeran
Affiliation,Black Ajah,Rianna Andomeran
Occupation,Dreadlord,Rianna Andomeran
Rank,Aes Sedai,Rianna Andomeran
Ajah,White Ajah,Rianna Andomeran
Nationality,Andoran,Mistress Andscale
Current status,Alive,Mistress Andscale
Gender,Female,Mistress Andscale
First mentioned,KOD 26,Mistress Andscale
Occupation,Banker,Mistress Andscale
Nationality,Unknown nationality,Anemara
Current status,Alive,Anemara
Gender,Female,Anemara
Build,Plump,Anemara
First appeared,KOD 2,Anemara
Last appeared,KOD 2,Anemara
Affiliation,White Tower,Anemara
Rank,Accepted,Anemara
Nationality,Andoran,Mistress Anford
Current status,Alive,Mistress Anford
Gender,Female,Mistress Anford
Hair,Graying,Mistress Anford
First appeared,KOD 17,Mistress Anford
Last appeared,KOD 32,Mistress Anford
Affiliation,Elayne Trakand,Mistress Anford
Occupation,Clerk,Mistress Anford
Nationality,Unknown nationality,Anghara
Current status,Dead,Anghara
Gender,Female,Anghara
First mentioned,ACOS 16,Anghara
Last mentioned,ACOS 16,Anghara
Title,Amyrlin Seat,Anghara
Ajah,Unknown Ajah,Anghara
Nationality,Unknown nationality,Angharad Juerissen
Current status,Unknown,Angharad Juerissen
Gender,Female,Angharad Juerissen
First mentioned,The Wheel of Time Companion,Angharad Juerissen
Affiliation,White Tower,Angharad Juerissen
Title,Keeper of the Chronicles,Angharad Juerissen
Rank,Aes Sedai,Angharad Juerissen
Ajah,Gray Ajah,Angharad Juerissen
Nationality,Unknown nationality,Angla
Current status,Alive,Angla
Gender,Female,Angla
First appeared,LOC 14,Angla
Last appeared,LOC 14,Angla
Affiliation,White Tower,Angla
Nationality,Unknown nationality,Clarine Anhill
Current status,Alive,Clarine Anhill
Gender,Female,Clarine Anhill
Build,Plump,Clarine Anhill
First appeared,TFOH 17,Clarine Anhill
Last appeared,KOD 25,Clarine Anhill
Affiliation,Valan Luca,Clarine Anhill
Occupation,Entertainer,Clarine Anhill
Nationality,Unknown nationality,Anlee
Current status,Unknown,Anlee
Gender,Female,Anlee
Hair,Graying,Anlee
First appeared,NS 11,Anlee
Last appeared,NS 12,Anlee
Occupation,Sitter,Anlee
Rank,Aes Sedai,Anlee
Ajah,Blue Ajah,Anlee
Nationality,Unknown nationality,Annah
Date of death,1000 NE,Annah
Current status,Dead,Annah
Gender,Female,Annah
First appeared,AMOL 27,Annah
Last appeared,AMOL 27,Annah
Occupation,Soldier,Annah
Nationality,Cairhienin,Gulaeve Annallin
Current status,Alive,Gulaeve Annallin
Gender,Female,Gulaeve Annallin
First mentioned,The Wheel of Time Roleplaying Game,Gulaeve Annallin
Title,Lady,Gulaeve Annallin
Nationality,Tairen,Fionnda Annariz
Current status,Alive,Fionnda Annariz
Gender,Female,Fionnda Annariz
Eyes,Iron,Fionnda Annariz
First appeared,LOC 19,Fionnda Annariz
Last appeared,COT Prologue,Fionnda Annariz
Title,High Lady of Tear,Fionnda Annariz
Nationality,Andoran,Karind Anshar
Current status,Alive,Karind Anshar
Gender,Female,Karind Anshar
Build,Blocky,Karind Anshar
Hair,Dark,Karind Anshar
First appeared,TFOH 19,Karind Anshar
Last appeared,KOD 35,Karind Anshar
Affiliation,House Trakand,Karind Anshar
Title,Lady,Karind Anshar
Rank,High Seat,Karind Anshar
Nationality,Arad Doman,Meka Antos
Current status,Alive,Meka Antos
Gender,Female,Meka Antos
First mentioned,The Wheel of Time Roleplaying Game,Meka Antos
Title,Lady,Meka Antos
Nationality,Kandor,Anya
Current status,Alive,Anya
Gender,Female,Anya
First appeared,NS 22,Anya
Last appeared,NS 26,Anya
Occupation,Servant,Anya
Nationality,Borderlander,Aran'gar
Date of death,1000 NE,Aran'gar
Current status,Dead,Aran'gar
Gender,Female,Aran'gar
Build,"Slender, Busty",Aran'gar
Hair,"Black, glossy",Aran'gar
Eyes,Green,Aran'gar
First appeared,LOC Prologue,Aran'gar
Last appeared,TOM Prologue,Aran'gar
Last mentioned,AMOL 5,Aran'gar
Rank,Chosen,Aran'gar
Nationality,Unknown nationality,Balladare Arandaille
Date of death,142 NE,Balladare Arandaille
Current status,Dead,Balladare Arandaille
Gender,Female,Balladare Arandaille
First mentioned,TWORJTWOT,Balladare Arandaille
Last mentioned,TGS 16,Balladare Arandaille
Affiliation,White Tower,Balladare Arandaille
Title,Amyrlin Seat,Balladare Arandaille
Rank,Aes Sedai,Balladare Arandaille
Ajah,Brown Ajah,Balladare Arandaille
Nationality,Andoran,Naean Arawn
Current status,Alive,Naean Arawn
Gender,Female,Naean Arawn
Build,Slim,Naean Arawn
Hair,Gleaming dark,Naean Arawn
Eyes,"Blue, big",Naean Arawn
First appeared,TFOH 19,Naean Arawn
Last appeared,TOM 50,Naean Arawn
Affiliation,Andor,Naean Arawn
Title,Lady,Naean Arawn
Rank,High Seat,Naean Arawn
Nationality,Unknown nationality,Arebis
Current status,Alive,Arebis
Gender,Female,Arebis
First mentioned,KOD Prologue,Arebis
Last mentioned,KOD Prologue,Arebis
Affiliation,White Tower,Arebis
Rank,Aes Sedai,Arebis
Ajah,Unknown Ajah,Arebis
Nationality,Amadician,Amellia Arene
Current status,Alive,Amellia Arene
Gender,Female,Amellia Arene
Hair,Graying,Amellia Arene
First appeared,TFOH 18,Amellia Arene
Last appeared,TFOH 18,Amellia Arene
Last mentioned,TFOH 34,Amellia Arene
Affiliation,Darkfriend,Amellia Arene
Occupation,Merchant,Amellia Arene
Nationality,Almoth Plain,Cecilia Arens
Current status,Alive,Cecilia Arens
Gender,Female,Cecilia Arens
First mentioned,The Wheel of Time Roleplaying Game,Cecilia Arens
Occupation,Wisdom,Cecilia Arens
Nationality,Unknown nationality,Meilyn Arganya
Date of death,979 NE,Meilyn Arganya
Current status,Dead,Meilyn Arganya
Gender,Female,Meilyn Arganya
Height,Tall,Meilyn Arganya
Hair,Silver-gray,Meilyn Arganya
Eyes,Startling blue,Meilyn Arganya
First mentioned,NS 3,Meilyn Arganya
First appeared,NS 5,Meilyn Arganya
Last appeared,NS 8,Meilyn Arganya
Last mentioned,NS 18,Meilyn Arganya
Affiliation,White Tower,Meilyn Arganya
Rank,Aes Sedai,Meilyn Arganya
Ajah,White Ajah,Meilyn Arganya
Nationality,Cairhienin,Lyrelle Arienwin
Date of birth,833 NE,Lyrelle Arienwin
Current status,Alive,Lyrelle Arienwin
Gender,Female,Lyrelle Arienwin
Height,Average,Lyrelle Arienwin
First appeared,TPOD 16,Lyrelle Arienwin
Last appeared,AMOL Epilogue,Lyrelle Arienwin
Affiliation,White Tower,Lyrelle Arienwin
Occupation,Sitter,Lyrelle Arienwin
Rank,Aes Sedai,Lyrelle Arienwin
Ajah,Blue Ajah,Lyrelle Arienwin
Nationality,Andoran,Arlene
Current status,Alive,Arlene
Gender,Female,Arlene
First appeared,COT 15,Arlene
Last appeared,KOD 17,Arlene
Occupation,Maid,Arlene
Nationality,Murandian,Chilares Arman
Current status,Alive,Chilares Arman
Gender,Female,Chilares Arman
Build,Willowy,Chilares Arman
Eyes,Doe,Chilares Arman
First appeared,TPOD 1,Chilares Arman
Last appeared,TPOD 3,Chilares Arman
Last mentioned,WH 11,Chilares Arman
Affiliation,The Kin,Chilares Arman
Rank,Elder,Chilares Arman
Nationality,Tarabon,Laigin Arnault
Date of death,999 NE,Laigin Arnault
Current status,Dead,Laigin Arnault
Gender,Female,Laigin Arnault
First mentioned,TPOD 13,Laigin Arnault
Last mentioned,TPOD 13,Laigin Arnault
Affiliation,White Tower,Laigin Arnault
Rank,Aes Sedai,Laigin Arnault
Ajah,Red Ajah,Laigin Arnault
Nationality,Altaran,Rahema Arnon
Current status,Alive,Rahema Arnon
Gender,Female,Rahema Arnon
Eyes,Haggard,Rahema Arnon
First appeared,COT 26,Rahema Arnon
Last appeared,COT 26,Rahema Arnon
Occupation,Merchant,Rahema Arnon
Nationality,Kandori,Racelle Arovni
Current status,Alive,Racelle Arovni
Gender,Female,Racelle Arovni
Height,Tall,Racelle Arovni
Hair,Graying,Racelle Arovni
Eyes,Dark,Racelle Arovni
First appeared,NS 16,Racelle Arovni
Last appeared,NS 16,Racelle Arovni
Occupation,Innkeeper,Racelle Arovni
Nationality,Seanchan,Arrata
Current status,Alive,Arrata
Gender,Female,Arrata
Build,Wiry,Arrata
First mentioned,KOD Prologue,Arrata
First appeared,KOD 26,Arrata
Affiliation,Ever Victorious Army,Arrata
Occupation,Soldier,Arrata
Nationality,Malkieri,Edeyn ti Gemallen Arrel
Date of birth,934 NE,Edeyn ti Gemallen Arrel
Current status,Alive,Edeyn ti Gemallen Arrel
Gender,Female,Edeyn ti Gemallen Arrel
Hair,Long black with touches of white,Edeyn ti Gemallen Arrel
Eyes,"Large, dark",Edeyn ti Gemallen Arrel
First mentioned,NS 16,Edeyn ti Gemallen Arrel
First appeared,NS 22,Edeyn ti Gemallen Arrel
Last appeared,NS 26,Edeyn ti Gemallen Arrel
Last mentioned,NS Epilogue,Edeyn ti Gemallen Arrel
Nationality,Malkieri,Iselle Arrel
Date of death,979 NE,Iselle Arrel
Current status,Dead,Iselle Arrel
Gender,Female,Iselle Arrel
Height,Tall,Iselle Arrel
Hair,Very long and black,Iselle Arrel
First mentioned,NS 22,Iselle Arrel
First appeared,NS 25,Iselle Arrel
Last appeared,NS 26,Iselle Arrel
Last mentioned,NS Epilogue,Iselle Arrel
Nationality,Unknown nationality,Catlynde Artein
Current status,Dead,Catlynde Artein
Gender,Female,Catlynde Artein
First mentioned,TWORJTWOT,Catlynde Artein
Last mentioned,TWORJTWOT,Catlynde Artein
Rank,Aes Sedai,Catlynde Artein
Ajah,Unknown Ajah,Catlynde Artein
Nationality,Shiotan,Deane Aryman
Date of birth,FY 920,Deane Aryman
Date of death,FY 1084,Deane Aryman
Current status,Dead,Deane Aryman
Gender,Female,Deane Aryman
First mentioned,TFOH 11,Deane Aryman
Last mentioned,COT 30,Deane Aryman
Title,Amyrlin Seat,Deane Aryman
Rank,Aes Sedai,Deane Aryman
Ajah,Blue Ajah,Deane Aryman
Nationality,Altara,Ashelin
Current status,Alive,Ashelin
Gender,Female,Ashelin
Build,Plump,Ashelin
First appeared,KOD 24,Ashelin
Last appeared,KOD 24,Ashelin
Affiliation,White Tower,Ashelin
Rank,Novice,Ashelin
Nationality,Unknown nationality,Mistress Asher
Current status,Alive,Mistress Asher
Gender,Female,Mistress Asher
Hair,Gray,Mistress Asher
First appeared,NS 17,Mistress Asher
Last appeared,NS 17,Mistress Asher
Nationality,Unknown nationality,Ashmanaille
Date of birth,902 NE,Ashmanaille
Current status,Alive,Ashmanaille
Gender,Female,Ashmanaille
Height,Tall,Ashmanaille
Build,Lanky,Ashmanaille
Hair,Dark,Ashmanaille
Eyes,Brown,Ashmanaille
First appeared,LOC 14,Ashmanaille
Last appeared,AMOL 27,Ashmanaille
Affiliation,White Tower,Ashmanaille
Rank,Aes Sedai,Ashmanaille
Ajah,Gray Ajah,Ashmanaille
Nationality,Ghealdanin,Iona Ashmar
Current status,Dead,Iona Ashmar
Gender,Female,Iona Ashmar
First mentioned,RPG,Iona Ashmar
Last mentioned,RPG,Iona Ashmar
Title,Lady,Iona Ashmar
Rank,Lady,Iona Ashmar
Nationality,Altaran,Saerin Asnobar
Date of birth,781 NE,Saerin Asnobar
Current status,Alive,Saerin Asnobar
Gender,Female,Saerin Asnobar
Hair,"Dark, Graying",Saerin Asnobar
First appeared,TPOD 26,Saerin Asnobar
Last appeared,AMOL Epilogue,Saerin Asnobar
Affiliation,White Tower,Saerin Asnobar
Occupation,Sitter,Saerin Asnobar
Rank,Aes Sedai,Saerin Asnobar
Ajah,Brown Ajah,Saerin Asnobar
Nationality,Taraboner,Asseil
Current status,Alive,Asseil
Gender,Female,Asseil
Build,Slim,Asseil
Hair,Pale,Asseil
Eyes,Brown,Asseil
First appeared,KOD 24,Asseil
Last appeared,KOD 24,Asseil
Affiliation,White Tower,Asseil
Rank,Accepted,Asseil
Nationality,Andoran,Astara
Current status,Dead,Astara
Gender,Female,Astara
First mentioned,TWORJTWOT,Astara
Title,Queen,Astara
Rank,Queen,Astara
Nationality,Unknown nationality,Astrelle
Current status,Alive,Astrelle
Gender,Female,Astrelle
Build,Plump,Astrelle
First appeared,KOD Prologue,Astrelle
Last appeared,KOD Prologue,Astrelle
Affiliation,White Tower,Astrelle
Rank,Aes Sedai,Astrelle
Ajah,White Ajah,Astrelle
Current status,Unknown,Atuan
Gender,Female,Atuan
Last mentioned,NS 4,Atuan
Affiliation,White Tower,Atuan
Rank,Accepted,Atuan
Nationality,Andoran,Shiaine Avarhin
Current status,Dead,Shiaine Avarhin
Gender,Female,Shiaine Avarhin
First mentioned,WH 10,Shiaine Avarhin
Last mentioned,WH 10,Shiaine Avarhin
Title,Lady,Shiaine Avarhin
Nationality,Far Madding,Einion Avharin
Current status,Dead,Einion Avharin
Gender,Female,Einion Avharin
First mentioned,WH 23,Einion Avharin
Last mentioned,WH 23,Einion Avharin
Rank,First Counsel,Einion Avharin
Nationality,Aiel,Aviellin
Current status,Alive,Aviellin
Gender,Female,Aviellin
First mentioned,KOD 29,Aviellin
Last mentioned,KOD 29,Aviellin
Affiliation,Car'a'carn,Aviellin
Clan,Unknown clan,Aviellin
Sept,Unknown sept,Aviellin
Society,Far Dareis Mai,Aviellin
Nationality,Aiel,Aviendha
Date of birth,980 NE,Aviendha
Current status,Alive,Aviendha
Gender,Female,Aviendha
Height,"5'9"" 0r 175 cm",Aviendha
Hair,Dark reddish,Aviendha
Eyes,Blue-green,Aviendha
First appeared,TDR 38,Aviendha
Last appeared,AMOL Epilogue,Aviendha
Occupation,Wise One,Aviendha
Clan,Taardad,Aviendha
Sept,Nine Valleys,Aviendha
Society,Far Dareis Mai,Aviendha
Nationality,Andoran,Rhea Avin
Current status,Alive,Rhea Avin
Gender,Female,Rhea Avin
Hair,"Dark, waist-length braid",Rhea Avin
First appeared,LOC Prologue,Rhea Avin
Last appeared,LOC Prologue,Rhea Avin
Affiliation,Two Rivers,Rhea Avin
Nationality,Andoran,Adora Aybara
Date of birth,983 NE,Adora Aybara
Date of death,999 NE,Adora Aybara
Current status,Dead,Adora Aybara
Gender,Female,Adora Aybara
First appeared,TEOTW Ravens,Adora Aybara
Last appeared,TEOTW Ravens,Adora Aybara
Last mentioned,TSR 56,Adora Aybara
Affiliation,Two Rivers,Adora Aybara
Nationality,Andoran,Adora Aybara (granddaughter of Perrin)
Current status,Foreseen,Adora Aybara (granddaughter of Perrin)
Gender,Female,Adora Aybara (granddaughter of Perrin)
Affiliation,Two Rivers,Adora Aybara (granddaughter of Perrin)
Nationality,Andoran,Deselle Aybara
Date of birth,988 NE,Deselle Aybara
Date of death,999 NE,Deselle Aybara
Current status,Dead,Deselle Aybara
Gender,Female,Deselle Aybara
First appeared,TEOTW Ravens,Deselle Aybara
Last appeared,TEOTW Ravens,Deselle Aybara
Last mentioned,TSR 56,Deselle Aybara
Affiliation,Two Rivers,Deselle Aybara
Nationality,Andoran,Joslyn Aybara
Date of death,999 NE,Joslyn Aybara
Current status,Dead,Joslyn Aybara
Gender,Female,Joslyn Aybara
First appeared,TEOTW Ravens,Joslyn Aybara
Last appeared,TEOTW Ravens,Joslyn Aybara
Last mentioned,TSR 31,Joslyn Aybara
Affiliation,Two Rivers,Joslyn Aybara
Nationality,Andoran,Magde Aybara
Date of death,999 NE,Magde Aybara
Current status,Dead,Magde Aybara
Gender,Female,Magde Aybara
Build,Stout,Magde Aybara
First mentioned,TSR 29,Magde Aybara
Last mentioned,TSR 40,Magde Aybara
Affiliation,Two Rivers,Magde Aybara
Nationality,Saldaean,Faile Bashere
Date of birth,981 NE,Faile Bashere
Current status,Alive,Faile Bashere
Gender,Female,Faile Bashere
Height,"5'5"" or 165cm",Faile Bashere
Weight,Slender,Faile Bashere
Hair,Black & Shoulder Length,Faile Bashere
Eyes,Dark,Faile Bashere
First appeared,TDR 33,Faile Bashere
Last appeared,AMOL Epilogue,Faile Bashere
Affiliation,Perrin Aybara,Faile Bashere
Title,Lady,Faile Bashere
Rank,Lady,Faile Bashere
Nationality,Andoran,Lara Ayellan
Current status,Alive,Lara Ayellan
Gender,Female,Lara Ayellan
First mentioned,TEOTW 13,Lara Ayellan
Last mentioned,TEOTW 13,Lara Ayellan
Affiliation,Two Rivers,Lara Ayellan
Nationality,Andoran,Corin Ayellin
Current status,Alive,Corin Ayellin
Gender,Female,Corin Ayellin
Build,Slim,Corin Ayellin
Hair,Gray,Corin Ayellin
First appeared,TEOTW Ravens,Corin Ayellin
Last appeared,TEOTW Ravens,Corin Ayellin
Last mentioned,TFOH 55,Corin Ayellin
Affiliation,Two Rivers,Corin Ayellin
Nationality,Andoran,Larine Ayellin
Date of birth,981 NE,Larine Ayellin
Current status,Alive,Larine Ayellin
Gender,Female,Larine Ayellin
Build,Willowy,Larine Ayellin
Hair,Thick braid,Larine Ayellin
First appeared,LOC 10,Larine Ayellin
Last appeared,LOC 11,Larine Ayellin
Last mentioned,COT 30,Larine Ayellin
Affiliation,White Tower,Larine Ayellin
Rank,Novice,Larine Ayellin
Nationality,Andoran,Marisa Ayellin
Current status,Alive,Marisa Ayellin
Gender,Female,Marisa Ayellin
First mentioned,TGH 36,Marisa Ayellin
Last mentioned,TGH 36,Marisa Ayellin
Affiliation,Two Rivers,Marisa Ayellin
Nationality,Andoran,Milli Ayellin
Current status,Alive,Milli Ayellin
Gender,Female,Milli Ayellin
First mentioned,TSR 44,Milli Ayellin
Last mentioned,TSR 44,Milli Ayellin
Affiliation,Two Rivers,Milli Ayellin
Nationality,Andoran,Neysa Ayellin
Current status,Alive,Neysa Ayellin
Gender,Female,Neysa Ayellin
Hair,"Gray, braided",Neysa Ayellin
First appeared,TSR 42,Neysa Ayellin
Last appeared,TSR 56,Neysa Ayellin
Affiliation,Two Rivers,Neysa Ayellin
Title,Women's Circle Member,Neysa Ayellin
Nationality,Andoran,Sari Ayellin
Current status,Alive,Sari Ayellin
Gender,Female,Sari Ayellin
First mentioned,TEOTW 16,Sari Ayellin
Last mentioned,TEOTW 16,Sari Ayellin
Affiliation,Two Rivers,Sari Ayellin
Nationality,Andoran,Malena Aylar
Current status,Foreseen,Malena Aylar
Gender,Female,Malena Aylar
Height,Tall,Malena Aylar
Build,Scrawny,Malena Aylar
First appeared,TGH 23,Malena Aylar
Last appeared,TGH 23,Malena Aylar
Affiliation,Two Rivers,Malena Aylar
Occupation,Wisdom,Malena Aylar
Nationality,Saldaean,Yurith Azeri
Current status,Alive,Yurith Azeri
Gender,Female,Yurith Azeri
Height,Tall,Yurith Azeri
Build,Lean,Yurith Azeri
First mentioned,COT 14,Yurith Azeri
First appeared,KOD 32,Yurith Azeri
Last appeared,KOD 32,Yurith Azeri
Occupation,Queen's Guard,Yurith Azeri
Nationality,Andoran,Azril
Current status,Alive,Azril
Gender,Female,Azril
First mentioned,LOC 11,Azril
First appeared,LOC 11,Azril
Last appeared,LOC 11,Azril
Last mentioned,LOC 11,Azril
Occupation,Serving girl,Azril
Nationality,Atha'an Miere,Azzara din Karak
Gender,Female,Azzara din Karak
Affiliation,Atha'an Miere,Azzara din Karak
Rank,Windfinder,Azzara din Karak
Nationality,Unknown nationality,Edesina Azzedin
Current status,Alive,Edesina Azzedin
Gender,Female,Edesina Azzedin
Build,Slender,Edesina Azzedin
Hair,"Very long, Black",Edesina Azzedin
First mentioned,NS 4,Edesina Azzedin
First appeared,TFOH 26,Edesina Azzedin
Last appeared,TOM 17,Edesina Azzedin
Affiliation,White Tower,Edesina Azzedin
Rank,Aes Sedai,Edesina Azzedin
Ajah,Yellow Ajah,Edesina Azzedin
Nationality,Aiel,Baellin
Current status,Alive,Baellin
Gender,Female,Baellin
Occupation,Wise One,Baellin
Clan,Shiande,Baellin
Sept,Degalle,Baellin
Nationality,Ghealdanin,Baelome
Current status,Alive,Baelome
Gender,Female,Baelome
First mentioned,TFOH 39,Baelome
Last mentioned,TFOH 39,Baelome
Affiliation,Crown High Council,Baelome
Title,Lady,Baelome
Nationality,Aiel,Baerin
Current status,Alive,Baerin
Gender,Female,Baerin
Last mentioned,LOC 27,Baerin
Clan,Unknown clan,Baerin
Sept,Unknown sept,Baerin
Society,Maiden of the Spear,Baerin
Nationality,Far Madding,Sereille Bagand
Date of birth,586 NE,Sereille Bagand
Date of death,890 NE,Sereille Bagand
Current status,Dead,Sereille Bagand
Gender,Female,Sereille Bagand
First mentioned,ACOS 32,Sereille Bagand
Last mentioned,COT 18,Sereille Bagand
Affiliation,White Tower,Sereille Bagand
Title,Amyrlin Seat,Sereille Bagand
Rank,Aes Sedai,Sereille Bagand
Ajah,White Ajah,Sereille Bagand
Nationality,Murandian,Martna Baily
Current status,Unknown,Martna Baily
Gender,Female,Martna Baily
First mentioned,TGS 28,Martna Baily
Last appeared,TGS 28,Martna Baily
Occupation,Baker (possibly),Martna Baily
Nationality,Aiel,Bain
Date of birth,981 NE,Bain
Current status,Alive,Bain
Gender,Female,Bain
Height,"5'8½""",Bain
Hair,Fiery red,Bain
Eyes,Dark blue,Bain
First appeared,TDR 38,Bain
Last appeared,AMOL 44,Bain
Affiliation,Car'a'carn,Bain
Occupation,Gai'shain,Bain
Clan,Shaarad,Bain
Sept,Black Rock,Bain
Society,Far Dareis Mai,Bain
Nationality,Aiel,Bair
Current status,Alive,Bair
Gender,Female,Bair
Hair,White,Bair
First mentioned,TDR 39,Bair
First appeared,TSR 23,Bair
Last appeared,AMOL Epilogue,Bair
Occupation,Wise One,Bair
Clan,Shaarad,Bair
Sept,Haido,Bair
Nationality,Unknown nationality,Covarla Baldene
Date of birth,919 NE,Covarla Baldene
Current status,Alive,Covarla Baldene
Gender,Female,Covarla Baldene
Hair,Pale,Covarla Baldene
First appeared,ACOS 32,Covarla Baldene
Last appeared,TGS 13,Covarla Baldene
Affiliation,White Tower,Covarla Baldene
Rank,Aes Sedai,Covarla Baldene
Ajah,Red Ajah,Covarla Baldene
Nationality,Unknown nationality,Ballair
Current status,Dead,Ballair
Gender,Female,Ballair
First mentioned,LOC 26,Ballair
Last mentioned,TWORJTWOT,Ballair
Rank,Aes Sedai,Ballair
Ajah,Unknown Ajah,Ballair
Nationality,Unknown nationality,Jenare Balmaen
Current status,Alive,Jenare Balmaen
Gender,Female,Jenare Balmaen
Build,Sturdy,Jenare Balmaen
First appeared,WH Prologue,Jenare Balmaen
